talent_id,role_id,order
nm0002195,2,3
nm0002198,1,1
nm0002198,2,2
nm0002198,9,3
nm0002296,13,1
nm0002296,19,2
nm0002296,27,3
nm0002332,2,1
nm0002332,6,2
nm0002332,5,3
nm0002353,10,1
nm0002353,9,2
nm0002353,1,3
nm0002370,9,1
nm0002370,10,2
nm0002370,1,3
nm0002376,6,1
nm0002376,7,2
nm0002376,5,3
nm0002431,5,1
nm0002431,6,2
nm0002431,2,3
nm0002438,5,1
nm0002438,2,2
nm0002438,6,3
nm0002459,14,1
nm0002459,7,2
nm0002459,5,3
nm0002498,13,1
nm0002498,2,2
nm0002498,5,3
nm0002505,5,1
nm0002505,6,2
nm0002505,7,3
nm0002574,11,1
nm0002574,5,2
nm0002574,26,3
nm0002615,5,1
nm0002615,7,2
nm0002615,2,3
nm0002616,6,1
nm0002616,5,2
nm0002616,4,3
nm0002626,10,1
nm0002626,9,2
nm0002626,1,3
nm0002640,9,1
nm0002640,1,2
nm0002640,10,3
nm0002649,4,1
nm0002649,21,2
nm0002649,3,3
nm0002657,6,1
nm0002657,5,2
nm0002657,7,3
nm0002685,9,1
nm0002685,10,2
nm0002685,1,3
nm0002690,4,1
nm0002690,7,2
nm0002690,5,3
nm0002712,13,1
nm0002712,7,2
nm0002712,6,3
nm0002728,6,1
nm0002728,2,2
nm0002728,7,3
nm0002739,5,1
nm0002739,7,2
nm0002739,14,3
nm0002743,2,1
nm0002743,5,2
nm0002743,7,3
nm0002744,32,1
nm0002744,26,2
nm0002744,7,3
nm0002749,5,1
nm0002749,7,2
nm0002749,6,3
nm0002766,5,1
nm0002766,6,2
nm0002766,3,3
nm0002776,1,1
nm0002776,2,2
nm0002776,9,3
nm0002862,2,1
nm0002862,7,2
nm0002862,13,3
nm0002877,9,1
nm0002877,4,2
nm0002877,10,3
nm0002935,2,1
nm0002935,1,2
nm0002935,6,3
nm0002992,12,1
nm0002992,5,2
nm0002992,14,3
nm0003005,9,1
nm0003005,10,2
nm0003005,1,3
nm0003024,14,1
nm0003024,12,2
nm0003024,5,3
nm0003134,6,1
nm0003134,5,2
nm0003134,7,3
nm0003139,9,1
nm0003139,10,2
nm0003139,1,3
nm0003147,25,1
nm0003147,22,2
nm0003147,17,3
nm0003150,5,1
nm0003150,7,2
nm0003150,11,3
nm0003215,12,1
nm0003215,14,2
nm0003215,7,3
nm0003259,14,1
nm0003259,12,2
nm0003259,5,3
nm0003286,4,1
nm0003318,2,1
nm0003318,7,2
nm0003318,5,3
nm0003328,6,1
nm0003328,7,2
nm0003328,5,3
nm0003337,2,1
nm0003337,7,2
nm0003340,6,1
nm0003340,7,2
nm0003340,2,3
nm0003421,6,1
nm0003421,1,2
nm0003422,7,1
nm0003422,3,2
nm0003424,2,1
nm0003424,7,2
nm0003424,6,3
nm0003442,14,1
nm0003442,12,2
nm0003442,27,3
nm0003492,2,1
nm0003499,2,1
nm0003501,2,1
nm0003501,11,2
nm0003501,7,3
nm0003506,5,1
nm0003506,7,2
nm0003506,6,3
nm0003510,26,1
nm0003510,5,2
nm0003510,11,3
nm0003517,13,1
nm0003517,5,2
nm0003517,19,3
nm0003537,13,1
nm0003537,5,2
nm0003537,7,3
nm0003557,5,1
nm0003557,7,2
nm0003557,2,3
nm0003586,2,1
nm0003586,7,2
nm0003586,6,3
nm0003615,7,1
nm0003615,6,2
nm0003615,11,3
nm0003647,9,1
nm0003647,10,2
nm0003647,1,3
nm0003655,11,1
nm0003655,31,2
nm0003655,26,3
nm0003668,10,1
nm0003668,9,2
nm0003668,2,3
nm0003670,7,1
nm0003670,6,2
nm0003670,3,3
nm0003685,25,1
nm0003685,17,2
nm0003685,16,3
nm0003796,9,1
nm0003796,10,2
nm0003796,1,3
nm0003823,3,1
nm0003823,12,2
nm0003823,32,3
nm0003847,14,1
nm0003847,12,2
nm0003847,3,3
nm0003859,2,1
nm0003859,7,2
nm0003859,6,3
nm0003907,7,1
nm0003907,5,2
nm0003907,13,3
nm0003931,7,1
nm0003931,5,2
nm0003931,6,3
nm0003962,5,1
nm0003962,7,2
nm0003962,6,3
nm0003972,9,1
nm0003972,10,2
nm0003972,1,3
nm0004020,14,1
nm0004020,12,2
nm0004020,5,3
nm0004079,31,1
nm0004079,5,2
nm0004079,3,3
nm0004089,14,1
nm0004089,6,2
nm0004089,12,3
nm0004121,7,1
nm0004121,14,2
nm0004121,5,3
nm0004170,6,1
nm0004170,3,2
nm0004170,22,3
nm0004242,2,1
nm0004247,13,1
nm0004247,5,2
nm0004247,19,3
nm0004262,6,1
nm0004262,5,2
nm0004262,3,3
nm0004309,4,1
nm0004309,5,2
nm0004309,1,3
nm0004310,2,1
nm0004310,1,2
nm0004310,6,3
nm0004316,10,1
nm0004316,9,2
nm0004316,1,3
nm0004365,2,1
nm0004365,5,2
nm0004365,7,3
nm0004372,14,1
nm0004372,7,2
nm0004372,12,3
nm0004388,5,1
nm0004388,7,2
nm0004388,6,3
nm0004416,10,1
nm0004416,1,2
nm0004416,2,3
nm0004429,2,1
nm0004429,5,2
nm0004429,3,3
nm0004435,2,1
nm0004435,10,2
nm0004435,5,3
nm0004461,5,1
nm0004461,3,2
nm0004461,7,3
nm0004462,2,1
nm0004462,6,2
nm0004462,7,3
nm0004464,2,1
nm0004464,5,2
nm0004464,1,3
nm0004471,2,1
nm0004471,3,2
nm0004475,5,1
nm0004475,26,2
nm0004475,3,3
nm0004517,2,1
nm0004517,6,2
