talent_id,talent_name,birth_year,death_year
nm0005192,Kellie Martin,1975,\N
nm0005201,Catherine McCord,1974,\N
nm0005202,Eric McCormack,1963,\N
nm0005207,Reba McEntire,1955,\N
nm0005212,Ian McKellen,1939,\N
nm0005213,Brian McKnight,1969,\N
nm0005221,Christopher Meloni,1961,\N
nm0005234,Donna Mills,1940,\N
nm0005236,Juliet Mills,1941,\N
nm0005239,Kel Mitchell,1978,\N
nm0005245,Shemar Moore,1970,\N
nm0005247,Debbi Morgan,1956,\N
nm0005255,Tamera Mowry-Housley,1978,\N
nm0005259,Megan Mullally,1958,\N
nm0005263,Dave Navarro,1967,\N
nm0005266,Craig T. Nelson,1944,\N
nm0005274,Gena Lee Nolin,1971,\N
nm0005276,Jack Noseworthy,1969,\N
nm0005277,Conan O'Brien,1963,\N
nm0005279,Carroll O'Connor,1924,2001
nm0005280,Rosie O'Donnell,1962,\N
nm0005287,Donny Osmond,1957,\N
nm0005288,Marie Osmond,1959,\N
nm0005305,Piper Perabo,1976,\N
nm0005310,Regis Philbin,1931,\N
nm0005311,Busy Philipps,1979,\N
nm0005317,Carlos Ponce,1972,\N
nm0005324,Maury Povich,1939,\N
nm0005343,Della Reese,1931,2017
nm0005346,Tara Reid,1975,\N
nm0005355,Alfonso Ribeiro,1971,\N
nm0005371,Robbie Robertson,1943,\N
nm0005372,Holly Robinson Peete,1964,\N
nm0005373,Smokey Robinson,1940,\N
nm0005376,Kid Rock,1971,\N
nm0005377,Sam Rockwell,1968,\N
nm0005393,Kelly Rutherford,1968,\N
nm0005399,Ben Savage,1980,\N
nm0005419,Judy Sheindlin,1942,\N
nm0005450,David Spade,1964,\N
nm0005454,Scott Speedman,1975,\N
nm0005460,Mary Steenburgen,1953,\N
nm0005474,Nicole Sullivan,1970,\N
nm0005475,David Sutcliffe,1969,\N
nm0005479,Bernie Taupin,1950,\N
nm0005485,Tiffani Thiessen,1974,\N
nm0005491,Maura Tierney,1965,\N
nm0005497,Nicholle Tom,1978,\N
nm0005502,Michelle Trachtenberg,1985,\N
nm0005508,Janine Turner,1962,\N
nm0005524,Courtney B. Vance,1960,\N
nm0005527,Sofía Vergara,1972,\N
nm0005541,Marlon Wayans,1972,\N
nm0005569,Alfre Woodard,1952,\N
nm0005596,Jonathan Bourne,1971,\N
nm0005630,Thomas E. Ackerman,\N,\N
nm0005647,Andrzej Bartkowiak,1950,\N
nm0005657,Joseph F. Biroc,1903,1996
nm0005658,G.W. Bitzer,1872,1944
nm0005686,Tonino Delli Colli,1922,2005
nm0005690,William K.L. Dickson,1860,1935
nm0005707,Emilio Foriscot,1904,2001
nm0005713,Karl Freund,1890,1969
nm0005721,Blasco Giurato,1941,\N
nm0005735,Ernest Haller,1896,1970
nm0005757,Benjamin H. Kline,1894,1974
nm0005779,William Lubtchansky,1937,2010
nm0005830,Tomislav Pinter,1926,2008
nm0005831,Larry Pizer,1925,2008
nm0005870,John F. Seitz,1892,1979
nm0005896,Philip Tannura,1897,1973
nm0005943,Augusto Algueró,1934,2011
nm0005966,Terence Blanchard,1962,\N
nm0005969,Claude Bolling,1930,\N
nm0005970,Bernardo Bonezzi,1964,2012
nm0005973,Scott Bradley,1891,1977
nm0005990,John Cacavas,1930,2014
nm0005995,Fiorenzo Carpi,1918,1997
nm0006013,Bob Cobert,1924,\N
nm0006014,Michel Colombier,1939,2004
nm0006015,Bill Conti,1942,\N
nm0006019,Vladimir Cosma,1940,\N
nm0006041,Klaus Doldinger,1936,\N
nm0006045,Steve Dorff,1949,\N
nm0006049,Joseph Dubin,1900,1961
nm0006054,Antonio Díaz Conde,\N,1976
nm0006057,Werner Eisbrenner,1908,1981
nm0006076,Jerry Fielding,1922,1980
nm0006081,Christopher Franke,1953,\N
nm0006085,Arthur Freed,1894,1973
nm0006086,Gerald Fried,1928,\N
nm0006089,Dominic Frontiere,1931,2017
nm0006109,Ron Goodwin,1925,2003
nm0006116,Christopher Gunning,1944,\N
nm0006122,Jan Hammer,1948,\N
nm0006124,Richard Harvey,1953,\N
nm0006150,Fred Karlin,1936,2004
nm0006166,Michel Legrand,1932,2019
nm0006168,John Lennon,1940,1980
nm0006174,Louiguy,1916,1991
nm0006210,Naushad,1919,2006
